Date,ADS.DE,005380.KS,KO,V
2023-04-03,164.73678011032212,111.61094224924013,104.62777022883323,110.66544633710886
2023-04-04,165.403652550424,111.73252279635258,104.30918799652149,110.01788610644176
2023-04-05,165.70677778843304,113.49544072948328,105.29845720950927,110.26434361617312
2023-04-06,165.5046994356237,112.52279635258358,105.3655278264387,109.21085076692877
2023-04-07,,112.52279635258358,,
2023-04-10,,113.00911854103343,105.11401621105637,109.42347687150054
2023-04-11,167.6669701876228,116.77811550151975,104.92958160880957,110.39965448903223
2023-04-12,165.14095223353084,120.48632218844985,105.11401621105637,110.09037144051288
2023-04-13,164.37303290822925,120.91185410334346,105.88531551333264,112.4486592941536
2023-04-14,167.32343544608793,119.209726443769,105.71763897100907,113.09138962717908
2023-04-17,164.27200144061962,118.54103343465046,106.4050968040205,112.83042767674401
2023-04-18,164.69637060679625,116.35258358662614,106.57277334634406,112.88842331789043
2023-04-19,163.9284666990847,117.68996960486322,106.77397880092627,112.3906710268967
2023-04-20,163.36262572659248,117.02127659574468,107.2434603270201,113.37167854206994
2023-04-21,165.20157419761466,115.74468085106383,107.39437241321436,113.10588669399331
2023-04-24,163.03930344561553,116.65653495440729,107.2266958708908,112.48248332542364
2023-04-25,161.7661959470856,122.18844984802432,107.0590193285672,110.9505651496413
2023-04-26,160.89724515417436,122.49240121580547,106.55600249400868,110.25467644700048
2023-04-27,159.76557862677993,122.79635258358662,106.77397880092627,110.67027623475046
2023-04-28,161.0993235069837,120.06079027355624,107.56204255933184,112.46798625860937
2023-05-01,,,107.81355417471416,112.36166951937876
2023-05-02,160.8770326936164,122.49240121580547,107.32730179628493,109.68926871957716
2023-05-03,158.29039277544064,122.18844984802432,106.72367903633224,109.20601349539764
2023-05-04,158.04788950151539,121.09422492401215,106.8410494178557,109.0223815244543
2023-05-05,172.11275561978866,,107.34405985620818,112.00889527041676
2023-05-08,171.46609564024473,123.10030395136778,107.17638971009067,112.22635864651961
2023-05-09,167.22238856088822,124.62006079027356,106.28772642249704,112.7241109375134
2023-05-10,165.42386501098196,127.65957446808511,106.47216742094993,111.76243776068542
2023-05-11,168.87945572206897,126.44376899696049,107.07579018090262,111.63678668310949
2023-05-12,166.55551612078634,126.74772036474164,107.49497194240242,111.81559613030076
2023-05-15,167.909458043958,126.44376899696049,107.20992501855538,112.50664756141046
2023-05-16,163.80720735332707,123.10030395136778,106.0026858948561,111.3758321065639
2023-05-17,164.3326234047034,124.3161094224924,105.88531551333264,112.4293249558083
2023-05-18,166.15135941516763,125.53191489361703,105.29845720950927,112.88842331789043
2023-05-19,160.67495434080706,124.92401215805471,105.34876337030937,112.74827517350022
2023-05-22,163.90825423852678,126.13981762917933,103.13547778508082,111.767267658327
2023-05-23,160.93765465770022,126.13981762917933,102.95104318283401,108.52945913110216
2023-05-24,155.68354039670692,126.13981762917933,102.07914435136969,107.40347357389714
2023-05-25,155.56229646853933,123.7082066869301,101.29108059296412,107.94955433686464
2023-05-26,157.05769478043655,124.92401215805471,101.03956897758181,108.7372553380324
2023-05-29,155.92604367063217,,,
2023-05-30,156.9768603557948,121.88449848024317,100.23474076304693,107.10868759219206
2023-05-31,153.0766880179732,121.580547112462,100.0335353084647,106.81390161048697
